movie_title,South Korea,Russia/CIS,Japan,Thailand,Indonesia,India,Taiwan,Philippines,Singapore,Vietnam,Malaysia,Hong Kong,New Zealand,Australia,China,Other_Asia_Pacific_Countries
Iron Man,25.17,9.49,8.66,2.45,2.15,1.99,5.37,3.99,3.82,,3.47,2.84,2.73,19.09,15.27,1.37
The Incredible Hulk,6.38,6.41,1.69,1.18,1.5,3.14,1.94,2.07,1.84,0.16,2.28,1.6,0.88,4.55,9.34,0.7
Iron Man 2,27.1,14.76,12.83,4.62,4.49,1.23,4.04,6.25,4.19,,4.64,3.76,2.7,22.42,7.92,6.57
Thor,14.79,16.54,5.74,2.32,0.27,1,5.83,4.03,4.25,,3.73,2.49,1.9,20.14,,5.29
Captain America: The First Avenger,3.81,8.64,3.43,2.48,2.05,0.12,6.32,3.58,3.56,0.6,3,2.5,1.47,11.11,,3.84
The Avengers,48.65,43.68,33.02,7.94,11.95,12.62,20.1,14.38,11.17,,10.97,12.47,7.14,54.39,86.3,11.73
Iron Man 3,64.21,44.22,25.19,8.87,15.31,12.21,,14.95,10.21,,13.91,13.71,5.23,36.16,121.2,8.84
Thor: The Dark World,21.11,35.73,6.02,4.55,,3.6,,7.95,6.3,,8.82,4.73,2.79,20.49,55.34,7.84
Captain America: The Winter Soldier,30.18,14.95,6.63,5.08,,4.23,,7.05,6.01,,8.4,7.29,0.66,18.39,115.62,6.7
Guardians of the Galaxy,10.13,23.53,9.5,3.41,,2.37,,5.38,4.73,,5.8,3.33,3.56,23.3,86.35,9.94
Avengers: Age of Ultron,72.32,34.32,26.37,8.85,,16.7,18.42,14.1,9.9,5.26,13.39,17.16,1.81,30.97,240.11,8.01
Ant-Man,21.12,11.5,9.67,3.34,,1.63,11.1,5.24,4.51,2.05,6.75,6.99,0.71,10.9,105.37,2.77
Captain America: Civil War,62.86,16.56,24.37,11.96,,12.09,16.4,14.2,8.4,0.04,10.69,15.47,1.41,25.44,180.79,11.04
Doctor Strange,41.33,22.32,16.39,5.03,,5.17,9.5,6.21,5.38,0.08,5.86,8.17,2.22,15.9,109.19,4.39
Guardians of the Galaxy Vol. 2,20.92,27.88,10.1,5.25,7.68,3.43,4.72,6.32,4.61,,5.33,4.76,3.76,24.61,100.66,3.27
Spider-Man: Homecoming,51.52,16.34,25.39,7.91,12.34,11.4,9.66,7.52,5.32,2.14,6.77,9.08,2.7,19.72,116.28,2.28
Thor: Ragnarok,35.13,23.65,10.12,7.5,11.75,11.82,10.41,8.35,5.95,,8.04,7,4.71,27,112.23,4.73
Black Panther,42.86,19.27,14.66,9,12.45,10.67,12.78,9.74,7.43,,10.25,8.64,4.8,31.98,105.06,7.34
Avengers: Infinity War,81.74,34.6,33.88,17.94,25.29,43.59,21.59,23.3,12.2,,17.33,20.59,7.09,46.83,359.54,18.11
Ant-Man and the Wasp,42.38,13.02,11.6,5.2,10.01,6.4,9.72,5.82,4.09,,5.71,7.66,1.98,14.71,121.2,3.3
Captain Marvel,42.92,20.13,17.75,11.32,19.41,14.41,13.08,12.49,7.56,4.01,10.95,10.19,4.18,29.46,154.07,6.71
Avengers: Endgame,105.48,46.01,55.3,27.23,34.78,62.68,29.39,32.84,14.35,11.7,21.12,29.33,9.57,59.11,629.1,14.36
Spider-Man: Far From Home,56.33,21.37,28.14,11.29,17.18,14.88,12.19,10.58,6.95,4.77,8.69,11.57,3.78,26.6,199,5.75
Black Widow,26.31,9.43,8.62,0.41,0.44,,1.7,,2.12,,0.25,6.62,2.75,9.5,,2.71
Shang-Chi and the Legend of the Ten Rings,15.22,8.78,8.76,1.94,4.55,4.44,5.4,0.12,5.28,0.32,1.9,8.45,1.25,12.14,,2.85
Eternals,26.88,9.33,10.54,3.3,7.1,5.57,9.24,1.26,3.18,0.77,2.68,6.74,1.3,10.97,,2.28
Spider-Man: No Way Home,61.73,48.85,35.09,3.5,24.6,36.6,17.9,,,5.31,10,15.46,7.67,57.3,,36.72
